,has_secondary_sport_education,has_higher_sport_education,sport_master,sport_master_kandidate,is_champion,work_experience,master_id,rang_id,docs_verified,rating,reviews_count,is_recomended,photos_count,is_male,has_price,years_on_profi_ru,price_in_thousands,cur_score_percents,work_experience_sq,reputation_density,reputation_volume_interaction,champion_experience_inter
0,1,0,0,0,0,4.0,https://profi.ru/profile/AbelkhairovaSV/,86.0,1,5.0,5,0,10,0,1,2.4166666666666665,3.2,0.5049348914285714,16.0,1.4634146341463414,8.958797346140274,0.0
1,1,0,0,0,0,19.0,https://profi.ru/profile/AbramovMB/,111.0,0,0.0,0,0,0,1,0,0.16666666666666666,,0.5043367049999999,361.0,0.0,0.0,0.0
2,0,1,1,0,1,8.0,https://profi.ru/profile/AbyasovaAN/,100.0,0,0.0,0,0,0,0,0,2.5833333333333335,,0.503504426,64.0,0.0,0.0,2.5833333333333335
3,1,0,0,0,0,2.0,https://profi.ru/profile/AfanasyevBA4/,144.0,1,0.0,0,0,8,1,1,1.25,2.0,0.503303286,4.0,0.0,0.0,0.0
4,1,0,1,0,0,3.0,https://profi.ru/profile/AgureyevaKM2/,75.0,1,5.0,4,0,0,0,1,0.6666666666666666,3.0,0.5051206914285714,9.0,2.4000000000000004,8.047189562170502,0.0
5,0,1,0,0,0,3.0,https://profi.ru/profile/AkopovaatoyanDA/,116.0,0,5.0,1,0,0,0,1,0.5,2.0,0.50371296,9.0,0.6666666666666666,3.4657359027997265,0.0
6,1,0,0,0,0,7.0,https://profi.ru/profile/AleksandrVA15/,89.0,1,0.0,0,0,8,0,1,0.16666666666666666,2.0,0.50551727,49.0,0.0,0.0,0.0
7,1,0,0,0,0,4.0,https://profi.ru/profile/AleksandrovMV51/,102.0,1,0.0,0,0,8,1,1,1.0,1.5,0.50565134,16.0,0.0,0.0,0.0
8,1,0,1,0,0,13.0,https://profi.ru/profile/AleksandrovaAV87/,93.0,0,0.0,0,0,0,0,1,3.3333333333333335,4.0,0.5045388228571429,169.0,0.0,0.0,0.0
9,1,0,1,0,0,4.0,https://profi.ru/profile/AlekseyevTD2/,113.0,1,5.0,9,0,8,1,1,0.6666666666666666,2.0,0.504995004,16.0,5.4,11.51292546497023,0.0
