has_secondary_education,has_higher_education,work_experience,master_id,master_id,index,docs_verified,gender,guarantee,rating,reviews_count,is_highly_praised,is_certified,price_socket,suitabilityHints,discount,insurance,contract,cur_score,profi_ru_start,album_count,photos_count
True,False,7.0,https://profi.ru/profile/AbdullinAA22/,https://profi.ru/profile/AbdullinAA22/,110.0,True,,Нет гарантии,0,0,False,False,,,,,,50.679233499999995,На сервисе с июня 2025 г,0,0
True,False,8.0,https://profi.ru/profile/AbdullinAM9/,https://profi.ru/profile/AbdullinAM9/,158.0,True,MALE,Нет гарантии,0,0,False,False,,,,,,50.70067066666667,На сервисе с ноября 2024 г. (1 год),0,7
True,False,6.0,https://profi.ru/profile/AbdullinAN2/,https://profi.ru/profile/AbdullinAN2/,131.0,True,MALE,По договоренности,"4,73",15,False,False,,Мало отзывов по вашей услуге,,,,50.761179999999996,На сервисе с октября 2020 г. (5 лет),0,2
False,True,,https://profi.ru/profile/AbdullinLR/,https://profi.ru/profile/AbdullinLR/,39.0,True,MALE,Нет гарантии,"5,0",3,False,False,,,,,,50.500441333333335,,0,0
True,False,7.0,https://profi.ru/profile/AbrashevYI/,https://profi.ru/profile/AbrashevYI/,85.0,True,MALE,Нет гарантии,0,0,False,False,,,,,,50.7820325,,0,0
False,False,2.0,https://profi.ru/profile/AgliulinFR/,https://profi.ru/profile/AgliulinFR/,114.0,True,MALE,Нет гарантии,"5,0",1,False,False,,,,,,50.7512952,На сервисе с февраля 2024 г. (2 года),0,0
,,,https://profi.ru/profile/AhmadeevAA4/,https://profi.ru/profile/AhmadeevAA4/,126.0,True,,Нет гарантии,"5,0",5,False,False,,,,,,50.707553,,0,5
,,,https://profi.ru/profile/AhmetshinIA/,https://profi.ru/profile/AhmetshinIA/,110.0,True,MALE,Нет гарантии,"5,0",3,False,False,,,,,,50.57070944444445,На сервисе с сентября 2018 г. (7 лет),0,8
True,False,19.0,https://profi.ru/profile/AkhmadeyevMA/,https://profi.ru/profile/AkhmadeyevMA/,43.0,False,,Нет гарантии,"5,0",67,False,False,,,,,,50.535154125,На сервисе с января 2024 г. (2 года),0,23
True,False,5.0,https://profi.ru/profile/AkhmadullinAR8/,https://profi.ru/profile/AkhmadullinAR8/,40.0,True,MALE,Нет гарантии,0,0,False,False,,,,,,50.90388,На сервисе с марта 2026 г,0,0
False,True,18.0,https://profi.ru/profile/AkhmetgareyevAN/,https://profi.ru/profile/AkhmetgareyevAN/,206.0,True,MALE,Нет гарантии,0,0,False,False,,,,,,50.5527,,0,14
